date,numtotal,numtoday,percentactive
2020-01-31,3,3,100.0
2020-02-08,3,0,100.0
2020-02-16,3,0,100.0
2020-02-21,3,0,100.0
2020-02-24,4,1,100.0
2020-02-25,4,0,100.0
2020-02-26,5,1,100.0
2020-02-27,6,1,100.0
2020-02-29,8,2,100.0
2020-03-01,15,7,100.0
2020-03-03,20,5,100.0
2020-03-05,22,2,100.0
2020-03-06,28,6,100.0
2020-03-07,28,0,100.0
2020-03-08,31,3,100.0
2020-03-09,34,3,100.0
2020-03-11,42,8,97.62
2020-03-12,59,17,98.31
2020-03-13,79,20,98.73
2020-03-14,79,0,98.73
2020-03-15,103,24,99.03
2020-03-16,145,42,99.31
2020-03-17,177,32,99.44
2020-03-18,189,12,99.47
2020-03-19,258,69,99.22
2020-03-20,311,53,99.36
2020-03-21,377,66,99.2
2020-03-22,425,48,98.82
2020-03-23,503,78,98.81
2020-03-24,588,85,98.64
2020-03-25,688,100,98.11
2020-03-26,858,170,97.32
2020-03-27,993,135,97.38
2020-03-28,993,0,97.38
2020-03-29,1355,362,98.01
2020-03-30,1706,351,72.8
2020-03-31,1966,260,71.16
2020-04-01,2392,426,69.65
2020-04-02,2793,401,68.35
2020-04-03,3255,462,97.94
2020-04-04,3630,375,97.41
2020-04-05,4038,408,66.86
2020-04-06,4347,309,59.6
2020-04-07,4726,379,96.76
2020-04-08,5276,550,96.7
2020-04-09,5759,483,96.53
2020-04-10,6237,478,96.44
2020-04-11,6648,411,96.19
2020-04-12,7049,401,96.11
2020-04-13,7470,421,96.1
2020-04-14,7953,483,95.8
2020-04-15,8447,494,95.38
2020-04-16,8961,514,95.22
2020-04-17,9525,564,94.93
2020-04-18,10010,485,46.11
2020-04-19,10578,568,45.48
2020-04-20,11184,606,45.42
2020-04-21,11735,551,45.18
2020-04-22,12245,510,43.77
2020-04-23,12879,634,42.56
2020-04-24,13519,640,41.9
2020-04-25,13995,476,40.51
2020-04-26,14432,437,38.75
2020-04-27,14856,424,36.58
2020-04-28,15381,525,35.5
2020-04-29,15728,347,32.52
2020-04-30,16187,459,30.24
2020-05-01,16608,421,28.04
2020-05-02,17119,511,26.57
2020-05-03,17553,434,24.65
2020-05-04,17923,370,22.95
2020-05-05,18310,387,22.75
2020-05-06,18722,412,21.72
2020-05-07,19121,399,21.29
2020-05-08,19598,477,20.73
2020-05-09,19944,346,19.84
2020-05-10,20238,294,18.91
2020-05-11,20546,308,18.21
2020-05-12,20907,361,18.11
2020-05-13,21236,329,17.05
2020-05-14,21581,345,16.56
2020-05-15,21922,341,15.72
2020-05-16,22313,391,15.35
2020-05-17,22653,340,15.02
2020-05-18,22957,304,14.83
2020-05-19,23384,427,15.21
2020-05-20,23774,390,15.19
2020-05-21,24187,413,15.19
2020-05-22,24628,441,15.55
2020-05-23,25040,412,15.32
2020-05-24,25500,460,15.45
2020-05-25,25904,404,15.8
2020-05-26,26191,287,15.65
2020-05-27,26483,292,14.9
2020-05-28,26866,383,14.87
2020-05-29,27210,344,14.65
2020-05-30,27533,323,14.25
2020-05-31,27859,326,13.54
2020-06-01,28263,404,13.53
2020-06-02,28709,446,13.66
2020-06-03,29047,338,13.47
2020-06-04,29403,356,13.02
2020-06-05,29747,344,12.71
2020-06-06,30202,455,12.71
2020-06-07,30617,415,12.83
2020-06-08,30860,243,12.66
2020-06-09,31090,230,12.18
2020-06-10,31341,251,11.09
2020-06-11,31544,203,10.02
2020-06-12,31726,182,9.55
2020-06-13,31992,266,9.18
2020-06-14,32189,197,8.38
2020-06-15,32370,181,8.08
2020-06-16,32554,184,7.89
2020-06-17,32744,190,7.31
2020-06-18,32917,173,7.12
2020-06-19,33095,178,6.85
2020-06-20,33301,206,6.68
2020-06-21,33476,175,6.38
2020-06-22,33637,161,6.18
2020-06-23,33853,216,6.24
2020-06-24,34016,163,5.98
